Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
11,      Structural Engineer ,    Charan Solutions,3 - 8 yrs,,"Chennai,  Thiruvananthapuram,  Thrissur","Analyze configurations of the basic structural components of a building or other structure using national and international codes e.g. IS codes ,  EC ,  AISC etc.;Calculate th","

Engineer
 

"
12,      Process Engineer ,    Charan Solutions,1 - 6 yrs,,"Chennai,  Tezpur,  Rewari",Responsible to prepare SOPs and execute them in plant operational aspects via continuous coordination with different plant engineering teams and also ensure the adherence to p,"Process Engineer  ,  Engineering  ,  Civil"
13,      Field Engineer ,    Charan Solutions,2 - 7 yrs,,Chennai,"We are searching for a handy and seasoned field engineer with extensive experience working on-site ,  directing on-site functions ,  and enhancing efficiency and customer serv","Field Engineer
 

"
14,      Mechanical Engineer ,    Charan Solutions,2 - 7 yrs,,Kolkata,"Designing ,  manufacturing ,  and installing components that fulfill requirements. Analyzing problems or deficiencies and developing solutions to resolve them. Conducting expe",Mechanical
15,      sales engineer ,    Control Print Limited,3 - 8 yrs,₹Rs 1.00 - 5.40 Lacs p.a.,Noida/Greater Noida,JD To drivethe Salesof printersfor ControlPrint Limitedin aparticular assignedterritory. Ensure Training / Seminars forCustomers onthe existingas wellas newproducts andany new,"""sales enginner""  ,  ""marketing egnieer""  ,  ""oem""  ,  ""technical sale"""
16,      Site Engineer ,    Cygnus Staffing Solutions,2 - 5 yrs,,Hyderabad/Secunderabad,"Client of Cygnus Staffing Solutions ,  a leading Manufacturing Company into Dairy Engineering ,  which has been taken over by a German Company ,  looking forSite EngineerRespo","Structural  &  sheet metal fabrication with erection- supporting structure  ,   column-beams  ,   conveyer  ,    Machinery equipment erection"
17,      Network Engineer ,    Core Computing management Pvt Ltd,5 - 10 yrs,₹Rs 5.00 - 14.00 Lacs p.a.,Kanpur,"Skill Sets:Expertise in L2  ,  L3 Device management Router  ,  Switches  ,  Load Balancer  ,  VPN ,  Firewall ,  Network Monitoring tool Fiber knowledge also required.Strong W","router  ,  switches  ,  firewall"
18,      Civil Engineer ,    Charan Solutions,1 - 6 yrs,,"Chennai,  Cochin/ Kochi/ Ernakulam,  Kannur","Civil engineers are responsible for creating ,  improving ,  and protecting our immediate environment. They plan and oversee construction and rebuilding ,  as well as the main",Civil Engineering
19,      Desktop Support Engineer ,    NetLync,0 - 1 yrs,₹Rs 2.10 - 3.50 Lacs p.a.,Hyderabad/Secunderabad,We are hiring for desktop support engineercandidate having good communication skills and basic technical knowledgefreshers also eligibleNo virtual interviewsinterested candida,"dhcp  ,  dns  ,  truobleshooting  ,  active directory  ,  fresher  ,  ms office  ,  laptop  ,  lan  ,  wan"
20,      Piping Design Engineer ,    procon india pvt ltd,5 - 10 yrs,₹Rs 5.00 - 12.00 Lacs p.a.,Noida/Greater Noida,"piping design  &  layout experience preferably in Oil  &  Gas projects in Engineering Consultancy environment. Description: Responsible for piping design  &  layout ,  support","Piping Design  ,  Pdms  ,  Piping Layouts"
21,      FireEye Network Engineer ,    Core Computing management Pvt Ltd,8 - 13 yrs,₹Rs 10.00 - 22.00 Lacs p.a.,Bengaluru / Bangalore,FireEye NX Replacement  ( PoC ) Location - RemoteTechnical Consulting is an SME in the technology or application being developed ordeployed. He / she will have deep knowledge ,"fireEye  ,  cloud  ,  active directory"
22,      HVAC Project  engineer ,    Istep Learning,1 - 2 yrs,,Mumbai,Detailed study of the plan provided by Design Team. Responsible for timely corrective and preventive action managing the execution of all scheduled works and ensure that all h,AutoCad
23,"      Component Engineer , Assistant Manager ",    INESS GLOBAL SOLUTIONS PRIVATE LIMITED,2 - 5 yrs,,"Bengaluru / Bangalore,  Chennai","Educational Qualification: BE /  ,  Diploma ,   ( Electronics / Electrical ) Experience:  2 - 4YrsSelection Process: Shortlisted Candidates will receive interview call letter ","Rohs  ,  PCN  ,  BOM"
24,      HVAC design engineer ,    Istep Learning,2 - 3 yrs,,Mumbai,"Dear Candidate , We have the Urgent Opening for HVAC Design Engineer. Kindly find the detailsJob description:-A. Minimum Qualification:   Diploma  /  B.E.  ( Mechanical ) B. Y","Knowledge on ASHRAE  /   ISHRAE and NBC Standards.  ,  AutoCAD  ,  HAP  ,  HVAC Equipment manufacturer selection software"
25,"      Maintenance Supervisor , System Engineer ",    Charan Solutions,4 - 9 yrs,,"Chennai,  Mahabubnagar,  Godhra,  Jamshedpur,  Haridwar","We are hiring for Maintenance SupervisorVery Urgent RequirementMaintenance Supervisors are responsible for the safe ,  efficient ,  and environmentally responsible maintenance","Maintenance Supervisor  ,  Preventive Maintenance"
26,      Maintenance Engineer ,    Pratiksha Pandhari Dudhankar,0 - 3 yrs,₹Rs 1.40 - 5.70 Lacs p.a.,"Ahmedabad,  Mumbai,  Pune,  Surat","Dear Candidate , We Are Hiring for Electrical Engineer. Fresher and Experience both can also apply for the vacancy.Electrical Engineer Responsibility'sProduction engineers wor","Electrical Maintenance  ,  Electrical Design  ,  electrical manufacturing  ,  electrical quality engineer
 

"
27,AI / ML Engineer ,    klearnow,0 - 3 yrs,,Gurgaon,"We are looking for is an experienced AI / ML Engineer who is self-driven and result oriented ,  a team player and able to work across teamsResponsibilities Design and develop ","algorithms  ,  artificial intelligence  ,  sql  ,  security  ,  digitization  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  infrastructure"
28,AI / ML Engineer ,    CoreStack,5 - 8 yrs,,Chennai,Requirements Please apply only if you have hands-on expertise designing and installing simple to advanced Time Series Forecasting Models in the Python language. We're looking ,"algorithms  ,  docker  ,  security  ,  mongodb  ,  python  ,  cloud services  ,  machine learning  ,  nist  ,  nosql  ,  written communication"
29,AI Application Engineer ,    H2O.ai,3 - 5 yrs,,Chennai,Responsibilities and Duties:As an AI Application Engineer in H2O.ai Professional Services team you will work closely with Technical teams on the Customer side and Customer Suc,"fundamentals  ,  rest api  ,  sql  ,  database  ,  java  ,  linux  ,  cloud computing  ,  big data  ,  python  ,  os  ,  ubuntu  ,  microsoft azure  ,  machine learning  ,  nosql  ,  django"
30,AI-ML Engineer ,    Miracle HR Solution Pvt. Ltd.,2 - 5 yrs,,Vadodara,"AI-ML Engineer VacancyJob Title AI-ML EngineerGender Preference AnyNumber Of Vacancy 1Industry Area IT-Software  /  Software ServicesKey Skills Tensorflow ,  Google Azure ,  R","algorithms  ,  artificial intelligence  ,  cloud computing  ,  python  ,  mobile  ,  machine learning"
31,AI / ML Engineer ,    klearnow,0 - 3 yrs,,Gurgaon,"Responsibilities Develop innovative AI solutions for challenging business problems.Discover data sources ,  get access to them ,  import them ,  clean them up ,  and make them","algorithms  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  sql  ,  security  ,  infrastructure"
32,AI Platforms Engineer ,    Intel Technology India Pvt Ltd,6 - 9 yrs,,Bengaluru / Bangalore,AI Platforms Engineer Job DescriptionThis is an exciting opportunity for an individual who is interested in joining AI Platforms team that is fast growing and strategically im,"information technology  ,  hosting  ,  storage  ,  database  ,  devops  ,  linux  ,  software engineering  ,  linux shell scripting  ,  python  ,  team player  ,  written communication  ,  splunk  ,  reporting tools"
33,      AI Platforms Engineer ,    Intel Technologies,6 - 9 yrs,,Bengaluru / Bangalore,This is an exciting opportunity for an individual who is interested in joining AI Platforms team that is fast growing and strategically important to Intel. We are looking for ,"information technology  ,  hosting  ,  storage  ,  database  ,  devops  ,  linux  ,  software engineering  ,  linux shell scripting  ,  python  ,  team player  ,  written communication  ,  splunk  ,  reporting tools"
34,AI ML Engineer ,    APPLYCUP HIRING SOLUTIONS LLP,2 - 10 yrs,,Chennai,"AI ML EngineerChennai ,  Tamil Nadu Qualification : B.Tech / M.Tech / M.E  / B.E / MCA / BCA / M.Sc / B.Sc , CS ,  Experience : 2 - 10 YearsSkills : python ,  JAVA ,  HTML ,  ","python  ,  java  ,  html  ,  sql"
35,AI - Senior Engineer ,    quality engineering pvt.ltd.jalgaon,5 - 8 yrs,,Thiruvananthapuram,Capture technical requirements from customerCommunicate directly with the customer on any technical issues and offer solutions whenever requiredWork jointly with the Research ,"algorithms  ,  python  ,  machine learning  ,  artificial intelligence"
36,AI Frameworks Engineer ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Frameworks Engineer Job DescriptionConducts design and development to build and optimize AI software. Designs ,  develops ,  and optimizes for AI frameworks  ( e.g. ,  Open","algorithms  ,  machine learning  ,  artificial intelligence  ,  data communication  ,  software engineering"
37,      Senior AI / ML Engineer ,    Vehere,8 - 10 yrs,,Kolkata,"Job Summary:You will be part of the team that develops Veheres next-generation security product. Our groundbreaking technology ,  services delivery ,  and intelligence gatheri","fundamentals  ,  algorithms  ,  scala  ,  security  ,  database  ,  java  ,  apache  ,  linux  ,  data structures  ,  python  ,  machine learning  ,  nosql"
38,      Software Engineer I ,    Charan Solutions,3 - 8 yrs,,"Chennai,  Hyderabad/Secunderabad,  Kanniyakumari,  Kolkata",Understanding of how multiple data sources can be consolidated together to produce BI SolutionsWork with business stakeholders to understand business needs and reportingTransl,Software Engineer I
39,      Building Engineer ,    Pratiksha Pandhari Dudhankar,0 - 3 yrs,₹Rs 1.40 - 5.70 Lacs p.a.,"Ahmedabad,  Kolkata,  Chandigarh,  Patna,  Jaipur","Dear Job Seekers , Greetings of the day.We are recruiting for Civil Engineer Fresher  &  Experience both can apply for the job.We have *3 department  ( Structure Engineer ,  S","site engineer  ,  civil design engineer  ,  building engineer  ,  construction"
40,      Hiring For Electrical Engineer ,    Pratiksha Pandhari Dudhankar,0 - 3 yrs,₹Rs 1.40 - 5.70 Lacs p.a.,"Itanagar,  Other City(s) in Arunachal Pradesh,  Dhubri,  Dibrugarh,  Guwahati","Dear Candidate , We Are Hiring for Electrical Engineer. Fresher and Experience both can also apply for the vacancy.Electrical Engineer Responsibility'sProduction engineers wor","Electrical Maintenance  ,  Electrical Design  ,  electrical manufacturing  ,  electrical quality engineer
 

"
41,"      Microsoft Power BI  ( Software Engineer ,  Sr Software Engineer  )  ",    Tech Labs,0 - 3 yrs,₹Rs 4.00 - 8.50 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam","Job description:Roles and ResponsibilitiesPlease find below the Job Openings in Top IT MNCs for Microsoft Power BI  ( Software Engineer ,  Senior Software Engineer ,  Technica","Machine Learning  ,  Microsoft Power BI  ,  Data Engineering  ,  Data Analytics  ,  SQL Server Analysis Services  ,  DAX  ,  Data Lake  ,  Oracle  ,  Teradata  ,  Power Query  ,  Power Pivot  ,  Vlookup"
42,"      Team Leader , Customer Support Engineer ",    Inflex jobs and consultancy private limited,0 - 1 yrs,,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune","WORK FROM HOME II PART TIME JOB II TYPING WORKDear candidates , Our company is a leading industry for providing home based jobs all over India. We require data entry workers f","Office-mgmt  ,  Customer  ,  Management"
43,"      Network Administrator , Network Engineer , System Engineer ",    AppSoft Solutions,0 - 3 yrs,₹Rs 2.40 - 4.50 Lacs p.a.,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida","Description:Upgrade ,  install and troubleshoot networks ,  networking hardware devices and software.Good experience in setting up and managing LAN and WAN environment.in-dept","Senior IT Administrator  ,   Network Services  ,   Network Administration  ,   Cisco  ,   facilities datacenter management  ,   CCNA  ,   CCNP  ,   CCIE."
44,"      Cloud Engineer , ""AWS Cloud Engineer"" ",    AppSoft Solutions,1 - 6 yrs,₹Rs 3.50 - 8.50 Lacs p.a.,"Ahmedabad,  Bengaluru / Bangalore,  Delhi,  Mumbai,  Pune",Cloud Engineer Responsibilities:Collaborating with engineering and development teams to evaluate and identify optimal cloud solutions.Modifying and improving existing systems.,"Paas  ,  Iaas  ,  Aws  ,  S3  ,  Mysql  ,  Ajax  ,  Azure  ,  Windows Azure  ,  Cloud Computing  ,  Virtualization  ,  Vsphere"
45,"      ""ANDROID APP DEVELOPER"" , Android Developer , Software Engineer ",    ziyou technologies private limited,4 - 9 yrs,,Bengaluru / Bangalore,"Must have relevant work experience of 4-6 years in mobile development life cycle Design ,  build and maintain the Android applications.develop mobile applications in Kotlin  (","Software Developing  ,  software developer  ,  android  ,  Android Sdk  ,  kotlin  ,  AWS
        
       
directions_walk
Walk-in Details 16-Apr-2022 - 16-May-2022  10:00 AM - 07:00 PM   Bengaluru
"
46,      WALKIN Interview | Sales Engineer - Chennai  ( Villivakkam )  ,    Sarvam Safety Equipment Pvt Ltd..,0 - 3 yrs,,Chennai,"Field Work - Promote safety Products like Helmet ,  Respirators ,  Hearing ,  Eyewear ,  Gloves ,  Safety Shoes ,  Fall protection etc. ,  to Medium  &  Large scale Industries","sales  ,  marketing  ,  business development executive  ,  field sales
        
       
directions_walk
Walk-in Details 18-Apr-2022 - 23-Apr-2022  10:00 AM - 05:00 PM   SARVAM SAFETY EQUIPMENT (P) LTD, No.A-6, Sidco Industrial Estate, Villivakkam, Chennai-600049
"
47,      Machanical Design Engineer need for Metal Compnay at Ludhiana ,    cmts india,2 - 4 yrs,₹Rs 2.90 - 3.55 Lacs p.a.,Ludhiana,"We need Junior Mechanical Designer cum Costing for sheet metal company at Ludhiana location , near Sua RoadPost- Junior Mechanical Design EngineerExp- 2-4 YearsSalary- 25-28K ","solid work  ,  3D  ,  PFEMA"
48,      Software Test Engineer  ( Manual and Automation )  ,    Tech Labs,0 - 3 yrs,₹Rs 3.75 - 6.50 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam","Job description:Hiring highly motivated Fresh Grads who are willing to work on the web and mobile-based applicationsStrong in programming skills ,  database knowledge ,  and c","Test Cases  ,  Regression Testing  ,  System Testing  ,  White Box Testing  ,  Integration Testing  ,  Functional Testing  ,  Manual Testing  ,  qa engineer  ,  Automation Testing  ,  Black Box"
49,      Site Engineer ,    Pratiksha Pandhari Dudhankar,0 - 3 yrs,₹Rs 1.40 - 5.70 Lacs p.a.,"Bengaluru / Bangalore,  Mumbai,  Bhopal,  Cuttack,  Other City(s) in Tripura","Dear Job Seekers , Greetings of the day.We are recruiting for Civil Engineer Fresher  &  Experience both can apply for the job.We have *3 department  ( Structure Engineer ,  S","site engineer  ,  civil design engineer  ,  building engineer  ,  construction"
50,      Admin Services / Medical Facilities ,    Samrit Halam,6 - 11 yrs,₹Rs 3.20 - 10.20 Lacs p.a.,"Mumbai,  Pune,  Noida/Greater Noida,  Nainital,  Kolkata","Health services administrators perform day-to-day administrative tasks at medical offices. They manage budgets and billing ,  order medical supplies ,  and oversee general sta","Administration  ,  system admin  ,  desktop support engineer  ,  desktop support  ,  customer support engineer
 

"
51,      Hiring For Civil Engineer ,    Pratiksha Pandhari Dudhankar,0 - 3 yrs,₹Rs 1.40 - 5.70 Lacs p.a.,"Pune,  Surat,  Vadodara,  Nagpur,  Nasik","Dear Job Seekers , Greetings of the day.We are recruiting for Civil Engineer Fresher  &  Experience both can apply for the job.We have *3 department  ( Structure Engineer ,  S","site engineer  ,  civil design engineer  ,  building engineer  ,  construction"
52,"      Computer Assistant , Help Desk Support , Consultant , System Engineer ",    Inflex jobs and consultancy private limited,0 - 1 yrs,,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai",Need candidates who can spend 2-3 hrs on internet from home*Hello.. Everybody. Are you searching for a part time job?*Here is simple Data Typing Work that is only in the notep,"Customer  ,  Office-mgmt  ,  Functional"
53,      Production Engineer ,    JDC Recruitment Services,2 - 5 yrs,₹Rs 4.00 - 8.00 Lacs p.a.,"Ahmedabad,  Bengaluru / Bangalore,  Gurgaon,  Mumbai,  Noida/Greater Noida",Develop and lead the improvement plans in the shop floor.Controlling of all parameters related to main process of plating.Controlling of Rework  &  Rejection.To Look after var,"Production Monitoring  ,  production handling  ,  Quality  ,  Management  ,  production management"
54,"      Associate Consultant Implementation , Technical Associate ",    Inflex jobs and consultancy private limited,0 - 1 yrs,,"Srikakulam,  Vijayawada,  Bhavnagar,  Rajkot,  Jamshedpur","Dear candidates , We r looking of friendly candidates for online operators work from home , *U need a computer or LaptopInterested can call us , *Should have basic knowledge o","Data Centre Operation  ,  Back Office  ,  technical support executive  ,  system administrator  ,  system admin  ,  customer support engineer  ,  service engineer  ,  service co ordinator"
55,"      Branch Office Assistant , Communtion Assistant , Astron Chowk ",    Inflex jobs and consultancy private limited,0 - 2 yrs,,"Delhi/NCR,  Karimnagar,  Other City(s) in Andhra Pradesh,  Other City(s) in Gujarat,  Other City(s) in Kerala","Data Entry Work from home jobs- Data Entry and Proof Reading*Fresher ,   student ,  house wife can also applyAny Graduate / Post Graduate can applyJob Title: Work Form Home , ","data entry operator  ,  computer assistant  ,  computer teacher   ,  desktop support  ,  technical support engineer  ,  system admin  ,  Computer Networking"
56,"      Sales Account Executive , Sales Executive , Executive ",    Inflex jobs and consultancy private limited,0 - 2 yrs,,"Delhi/NCR,  Karimnagar,  Other City(s) in Andhra Pradesh,  Other City(s) in Gujarat,  Other City(s) in Kerala","Data Entry Work from home jobs- Data Entry and Proof Reading*Fresher ,   student ,  house wife can also applyAny Graduate / Post Graduate can applyJob Title: Work Form Home , ","data entry operator  ,  computer assistant  ,  computer teacher   ,  technical support engineer  ,  system admin"
57,"      Executive Assistant  ( EXA )  , Assistant , Communtion Assistant ",    Inflex jobs and consultancy private limited,0 - 1 yrs,,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida","We Provide Typing Jobs From Homefrom where a serious user can earn good earning from home.Vacancy / Skills: self employed ,  Data Entry Executive ,  Data Entry Operator ,  Com","Back Office  ,  office executive  ,  system administrator  ,  technical support engineer  ,  Marketing  ,  marketing executive  ,  assistant sales manager"
58,      Electrical Engineer ,    AppSoft Solutions,0 - 3 yrs,₹Rs 2.50 - 6.50 Lacs p.a.,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon",Job Description:Electrical EngineerVery Urgent RequirementDesigns electrical systems by developing and testing components.Electrical Engineer Job Duties:Evaluates electrical s,"Electronic Systems  ,   Electronics Troubleshooting  ,   Electronic Testing Design  ,   Project Management  ,   Quality Focus  ,   Database Design  ,   Analyzing Information"
59,      We Have Handsome Paid Jobs  no target  no Sales in BPO ,    BEST PLACEMENT SERVICE,0 - 3 yrs,₹Rs 10.00 - 19.50 Lacs p.a.,"Chandigarh,  Panchkula,  Mohali","Call me ,  after reading the below information if you are satisfiedCall 7508062612  9988353971 9988350971  Jobs in Chandigarh and Mohali cab facility.We do not take any Fees ,","call center  ,  Customer Care  ,  service manager  ,  senior systems engineer  ,  bpo  ,  Customer  ,  Executive  ,  kpo  ,  Customer Service  ,  customer service executive  ,  customer care executive"
60,      Electrical Engineer ,    AppSoft Solutions,0 - 3 yrs,₹Rs 2.50 - 6.50 Lacs p.a.,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune",Job Description:Electrical EngineerVery Urgent RequirementDesigns electrical systems by developing and testing components.Electrical Engineer Job Duties:Evaluates electrical s,"Electronic Systems  ,   Electronics Troubleshooting  ,   Electronic Testing Design  ,   Project Management  ,   Quality Focus  ,   Database Design  ,   Analyzing Information"
61,"      Testing , Testing Software Engineer , Test Engineer ",    AppSoft Solutions,0 - 3 yrs,₹Rs 2.40 - 6.50 Lacs p.a.,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida","Description:Must be proficient in development environments ,  debugging tools and source control systems.must have experience in cross platform development ,  must have worked","Software Testing  ,  software test engineer  ,  test engineer  ,  software tester  ,  qa engineer  ,  qa lead  ,  test lead  ,  test analyst"
62,"      Software Engineer , Software Developer ",    AppSoft Solutions,0 - 3 yrs,₹Rs 2.40 - 5.50 Lacs p.a.,"Ahmedabad,  Delhi,  Gurgaon,  Kolkata,  Noida/Greater Noida","Description:Must be proficient in development environments ,  debugging tools and source control systems.must have experience in cross platform development ,  must have worked","programmer  ,   software engineer  ,   Java  ,   J2ee  ,  Jsp  ,  Servlet"
63,      Frontend  / UI  /  UX  /  Angular Developer ,    Tech Labs,0 - 3 yrs,₹Rs 4.00 - 8.50 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam",Job description:Frontend Developer  ( Angular 4+ Version+ Bootstrap + Javascript ES6 ) Experience- 0- 3 years Notice period - NP-Immediate  ( Not working or Serving notice -> ,"angular 5  ,  angular  ,  Angularjs  ,  Unit Testing  ,  Bootstrap  ,  UI  ,  UX  ,  Frontend  ,  Nodejs  ,  Html5  ,  Json  ,  Jquery  ,  React.Js  ,  Redux  ,  Css  ,  UI Developer  ,  UX Designer  ,  Rxjs"
64,      Angular Developer ,    DEETYA ACCOUNTING CODES AND SERVICES LLP,1 - 5 yrs,₹Rs 1.00 - 12.00 Lacs p.a.,Ahmedabad,Responsibilities Develop new application front-end with Angular js  Build reusable components and libraries for future use Optimize application for maximum speed and scalabili,"Angular JS  ,  REST API  ,  HTML5  ,  CSS3  ,  Javascript  ,  LESS  ,  SASS"
65,      Sr. QA Egg - Automation - J43447 ,    SAMPOORNA CONSULTANTS PVT LTD,5 - 8 yrs,₹Rs 8.00 - 30.00 Lacs p.a.,Pune,"Problem solver ,  results driven ,  creative ,  hands on ,  enthusiastic we are seeking a Senior QA Automation engineer that has these characteristics. My client is a software","Testing  ,  automation"
66,      Android Developer ,    Feham Hr Solutions,2 - 4 yrs,₹Rs 10.00 - 20.00 Lacs p.a.,Bengaluru / Bangalore,React Native Developer Responsibilities: * Design and implement user interface components for JavaScript-based mobile applications using React-native ecosystem  * Work as a pa,"React Native  ,  javascript  ,  mobile application  ,  Android Development"
67,      Chemical Engineering ,    Charan Solutions,2 - 7 yrs,,"Bengaluru / Bangalore,  Chennai,  Delhi","Chemical engineers develop and design chemical manufacturing processes. Chemical engineers apply the principles of chemistry ,  biology ,  physics ,  and math to solve problem",Engineering
68,      Java Developer ,    Height8 Technologies Pvt. Ltd.,2 - 4 yrs,₹Rs 3.00 - 5.00 Lacs p.a.,Ahmedabad,"We are looking for a great Java developer who possesses a strong understanding of how best to leverage the languages unique paradigms ,  idioms ,  and syntax. Your primary foc","Core Java  ,  Java  ,  Spring Framework  ,  Spring Boot  ,  Hibernate Framework  ,  Linux  ,  OOPS Data Structures  ,  HTML Java Script  ,  API  ,  Microservices  ,  Java Programming"
69,"      Senior Business Analyst - Analytics Consulting , Senior Analyst ",    Value C Consulting Services Pvt ltd,0 - 1 yrs,₹Rs 6.00 - 13.00 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai","TRAINEEES ONLYTRAINING IS MANDATORY Data handling proficiency: Knowledge of querying data using SQL on traditional RDBMS databases ,  and / or big data environments such as Ha",freshers or expereinced
70,      Hiring Software Developers- Freshers Apply! ,    Tech Labs,0 - 1 yrs,₹Rs 4.00 - 7.50 Lacs p.a.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam","Job description:Hiring highly motivated Fresh Grads who are willing to work on the web and mobile-based applicationsStrong in programming skills ,  database knowledge ,  and c","Python  ,  ME  ,  Javascript  ,  Coding  ,  Fresher  ,  Btech  ,  Mtech  ,  Machine Learning  ,  Programming  ,  BE  ,  Java  ,  Android  ,  Ios  ,  Html  ,  Devops  ,  Django  ,  Computer Science  ,  Software  ,  Web Developer  ,  BCA"
71,"      Design Engineer , Senior Design Engineer ",    AppSoft Solutions,0 - 3 yrs,₹Rs 2.50 - 6.50 Lacs p.a.,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Gurgaon","Job descriptionVery Urgent RequirementHere is an exciting opportunity For Design Engineer.Required Candidate profileThinking creatively to produce new ideas , concepts to deve","Sheet Metal  ,  3d Modeling  ,  Solid Modeling  ,  Assembling  ,  Metal Fabrication  ,  Piping  ,  Assembly  ,  Assembly Language  ,  Cam  ,  Cad  ,  Auto-cad"
